#"Versus.0002" "r Id_vs_Vgs" "i Id_vs_Vgs"
2.52753 0.0367558 0
2.52853 0.036912 0
2.52953 0.0370684 0
2.53053 0.0372251 0
2.53153 0.037382 0
2.53253 0.0375392 0
2.53353 0.0376967 0
2.53453 0.0378545 0
2.53554 0.0380125 0
2.53654 0.0381708 0
2.53754 0.0383294 0
2.53854 0.0384882 0
2.53954 0.0386473 0
2.54054 0.0388067 0
2.54154 0.0389663 0
2.54254 0.0391262 0
2.54354 0.0392863 0
2.54454 0.0394467 0
2.54555 0.0396074 0
2.54655 0.0397684 0
2.54755 0.0399296 0
2.54855 0.040091 0
2.54955 0.0402528 0
2.55055 0.0404148 0
2.55155 0.040577 0
2.55255 0.0407395 0
2.55355 0.0409023 0
2.55455 0.0410653 0
2.55556 0.0412286 0
2.55656 0.0413922 0
2.55756 0.041556 0
2.55856 0.0417201 0
2.55956 0.0418844 0
2.56056 0.042049 0
2.56156 0.0422139 0
2.56256 0.042379 0
2.56356 0.0425444 0
2.56456 0.04271 0
2.56557 0.0428759 0
2.56657 0.0430421 0
2.56757 0.0432085 0
2.56857 0.0433751 0
2.56957 0.0435421 0
2.57057 0.0437092 0
2.57157 0.0438767 0
2.57257 0.0440444 0
2.57357 0.0442123 0
2.57457 0.0443805 0
2.57558 0.0445489 0
2.57658 0.0447176 0
2.57758 0.0448866 0
2.57858 0.0450558 0
2.57958 0.0452253 0
2.58058 0.045395 0
2.58158 0.045565 0
2.58258 0.0457352 0
2.58358 0.0459057 0
2.58458 0.0460764 0
2.58559 0.0462474 0
2.58659 0.0464186 0
2.58759 0.0465901 0
2.58859 0.0467619 0
2.58959 0.0469339 0
2.59059 0.0471061 0
2.59159 0.0472786 0
2.59259 0.0474513 0
2.59359 0.0476243 0
2.59459 0.0477976 0
2.5956 0.047971 0
2.5966 0.0481448 0
2.5976 0.0483188 0
2.5986 0.048493 0
2.5996 0.0486675 0
2.6006 0.0488422 0
2.6016 0.0490172 0
2.6026 0.0491924 0
2.6036 0.0493679 0
2.6046 0.0495436 0
2.60561 0.0497195 0
2.60661 0.0498958 0
2.60761 0.0500722 0
2.60861 0.0502489 0
2.60961 0.0504259 0
2.61061 0.050603 0
2.61161 0.0507805 0
2.61261 0.0509582 0
2.61361 0.0511361 0
2.61461 0.0513142 0
2.61562 0.0514927 0
2.61662 0.0516713 0
2.61762 0.0518502 0
2.61862 0.0520293 0
2.61962 0.0522087 0
2.62062 0.0523883 0
2.62162 0.0525682 0
2.62262 0.0527483 0
2.62362 0.0529287 0
2.62462 0.0531092 0
2.62563 0.0532901 0
2.62663 0.0534711 0
2.62763 0.0536525 0
2.62863 0.053834 0
2.62963 0.0540158 0
2.63063 0.0541978 0
2.63163 0.0543801 0
2.63263 0.0545626 0
2.63363 0.0547454 0
2.63463 0.0549283 0
2.63564 0.0551116 0
2.63664 0.055295 0
2.63764 0.0554787 0
2.63864 0.0556627 0
2.63964 0.0558468 0
2.64064 0.0560312 0
2.64164 0.0562159 0
2.64264 0.0564008 0
2.64364 0.0565859 0
2.64464 0.0567712 0
2.64565 0.0569568 0
2.64665 0.0571427 0
2.64765 0.0573287 0
2.64865 0.057515 0
2.64965 0.0577015 0
2.65065 0.0578883 0
2.65165 0.0580753 0
2.65265 0.0582625 0
2.65365 0.05845 0
2.65465 0.0586377 0
2.65566 0.0588256 0
2.65666 0.0590138 0
